,SumFeat_1_0.826,SumFeat_2_0.825,SumFeat_3_0.825,SumFeat_4_0.822,SumFeat_5_0.825,SumFeat_6_0.825,SumFeat_7_0.825,SumFeat_8_0.823,SumFeat_9_0.822,SumFeat_10_0.822,TotalFeat,AvgFeat
indy_ma-220,0.33113313,0.33402675,0.32747495,0.35740164,0.33883443,0.34995252,0.3468089,0.3518197,0.35875005,0.3611088,3.457311,0.62860197
indy_ma-550,2.9867175,2.9922216,2.9793346,3.036723,3.0058959,3.0231729,3.0157824,3.034674,3.0437818,3.0424938,30.160797,5.4837813
indy_hh-220,0.10232833,0.10214959,0.1014324,0.09811681,0.10058975,0.09929738,0.100045666,0.09846986,0.097642586,0.09775525,0.99782765,0.1814232
indy_ll-220,0.08994517,0.088748686,0.09015685,0.0851464,0.08735867,0.08586019,0.08606203,0.08528048,0.085022405,0.085458174,0.869039,0.15800709
indy_mid-220,0.11103403,0.11159931,0.11093227,0.11284059,0.111297995,0.11280846,0.11265786,0.11235528,0.11342771,0.1141211,1.1230747,0.2041954
indy_hh2-550,0.13780007,0.13591745,0.13892612,0.13343422,0.1343346,0.13377051,0.13393046,0.13336454,0.13364495,0.13417189,1.3492947,0.2453263
indy_ll2-550,0.13892408,0.13904807,0.14157383,0.13353544,0.1371216,0.13513903,0.135962,0.13442187,0.13207182,0.13152538,1.3593233,0.24714969
indy_mid2-550,0.107270904,0.1060759,0.10920508,0.09744683,0.10389933,0.100389004,0.101379566,0.09846095,0.09667144,0.09614131,1.0169404,0.18489824
indy_macd110-440,0.07055241,0.07030618,0.07082986,0.06620978,0.06936013,0.06752184,0.068295814,0.06668265,0.065681994,0.06532027,0.6807609,0.123774715
indy_signal110-440-110,0.06055524,0.060510837,0.06044828,0.057895266,0.060186412,0.059128627,0.059691332,0.058349244,0.057192147,0.0567901,0.5907475,0.107408635
indy_hist_macd110-440,0.066667415,0.06628619,0.06731316,0.06308088,0.06521772,0.06426322,0.06494464,0.06359345,0.06237573,0.06211738,0.64585984,0.11742906
indy_rsi25-ma20,0.0419586,0.041478314,0.042261325,0.03852067,0.040862937,0.03949275,0.040014025,0.0389551,0.038067065,0.037565872,0.39917666,0.07257757
indy_6ATRTrail_DC-110,0.08398503,0.08446434,0.08422681,0.08518239,0.084355235,0.085003495,0.08494985,0.08468536,0.08528518,0.08541808,0.84755576,0.15410104
cate_3trend-220_ma110,0.16713026,0.16580749,0.17130843,0.15571478,0.16355182,0.15883115,0.16005725,0.1560829,0.15324001,0.1519165,1.6036406,0.29157102
cate_2trend-550_ma110,0.114304855,0.114892386,0.11361969,0.11542526,0.11407932,0.11511485,0.11516066,0.11489966,0.115483105,0.116624475,1.1496042,0.20901895
cate_rannkHL550-ma66,0.14802817,0.14642403,0.15109622,0.13862391,0.14450079,0.1416432,0.14351887,0.1398463,0.137936,0.13705869,1.4286762,0.2597593
cate_CombineTrend,0.24166468,0.24004304,0.23986006,0.2247024,0.23855372,0.22861117,0.2307385,0.22805876,0.22372577,0.22441305,2.3203714,0.4218857
