,SumFeat_1_0.824,SumFeat_2_0.823,SumFeat_3_0.823,SumFeat_4_0.823,SumFeat_5_0.823,SumFeat_6_0.821,SumFeat_7_0.82,SumFeat_8_0.822,SumFeat_9_0.822,SumFeat_10_0.822,TotalFeat,AvgFeat
indy_ma-220,0.16353504,0.1674162,0.16039431,0.17886174,0.16928346,0.1744825,0.17230342,0.17746088,0.18074581,0.18191558,1.726399,0.31389073
indy_ma-550,2.4289134,2.4370596,2.4299598,2.4739192,2.4419756,2.463404,2.46041,2.469574,2.4795034,2.4913754,24.576094,4.4683805
indy_hh-220,0.67966247,0.6795571,0.677446,0.6672157,0.67740345,0.66859037,0.67336625,0.66465104,0.66345716,0.66217774,6.713527,1.2206413
indy_ll-220,0.10145061,0.10108958,0.10185299,0.09938406,0.10110638,0.10024731,0.10013936,0.099964716,0.099224575,0.09856653,1.0030261,0.18236838
indy_mid-220,0.13853376,0.13763778,0.13787964,0.13710947,0.13799138,0.13771755,0.13786052,0.13760127,0.13733424,0.13719957,1.3768651,0.25033912
indy_hh2-550,0.19149488,0.19071035,0.19349954,0.18874696,0.19074592,0.18970051,0.18928784,0.18953396,0.189982,0.18934289,1.9030448,0.34600815
indy_ll2-550,0.15778896,0.15555698,0.15951715,0.14653745,0.15413794,0.14902948,0.15026426,0.14742005,0.14589995,0.14496563,1.5111179,0.2747487
indy_mid2-550,0.16095546,0.15761115,0.1631358,0.14412276,0.1562928,0.14858998,0.14990138,0.1466503,0.14266963,0.1410558,1.5109851,0.27472457
indy_macd110-440,0.10230903,0.101163425,0.10270405,0.09674164,0.10072609,0.09903243,0.09949857,0.09824111,0.096188776,0.09513331,0.99173844,0.18031608
indy_signal110-440-110,0.07976511,0.07838112,0.080917165,0.0720712,0.07723671,0.07386948,0.074857384,0.07321675,0.07093305,0.06981908,0.7510671,0.13655765
indy_hist_macd110-440,0.06631316,0.065293916,0.066698104,0.06142655,0.06460364,0.06251087,0.06299077,0.062035404,0.061142847,0.060263265,0.63327855,0.115141556
indy_rsi25-ma20,0.046121284,0.045140028,0.046809237,0.040923707,0.04479275,0.04222242,0.042741675,0.04170124,0.040317524,0.039589055,0.43035892,0.07824708
indy_6ATRTrail_DC-110,0.1315718,0.13238274,0.12862697,0.13423479,0.13408418,0.13412057,0.13346513,0.13402113,0.13471022,0.13440216,1.3316196,0.24211265
cate_3trend-220_ma110,0.08455621,0.08380951,0.08649026,0.079278976,0.08235043,0.07990867,0.080296546,0.07988696,0.077777155,0.076683864,0.81103855,0.14746155
cate_2trend-550_ma110,0.1372412,0.13795957,0.13521871,0.14137585,0.1387407,0.14104547,0.14003164,0.14217684,0.14151858,0.14004627,1.3953549,0.25370088
cate_rannkHL550-ma66,0.18882625,0.18618126,0.19022858,0.18074569,0.18375237,0.18170759,0.18222804,0.18121542,0.17970064,0.1794863,1.8340721,0.33346766
cate_CombineTrend,0.14096157,0.1430496,0.13862169,0.15730453,0.1447763,0.15382108,0.15035701,0.15464889,0.15889427,0.15797734,1.5004123,0.27280223
